Zm00001d039542,Zm00001d017584,samp,experiment,plate,well,barcode,tube_num_full,tube_num,tissue_key,tissue,ID,temp_tx,fertilizer_tx,tray,pot,line,source,tissue_stage,date_planted,emergence_date,unique_id,harvest_date,genotype,inv4m_genotype,uniqueID,file,Filename,fastqc,Total_Sequences,plant,NEWID,new_line,new_inv4m_genotype,full_geno,group,inv_temp,fert_temp,fert_temp_geno
3.02054135278937,5.93914916696142,GC72_P1_ILLSINHA37,gc72,1,D5,ILLSINHA37,91,91,0,V3_Leaf_tissue,gc72012,warm,high,1,6,PT,,V3,3/2/2017,3/4/2017,warm_1_6_V3,3/13/2017,PT,Inv4m,gc72012_0,GC72_P1_ILLSINHA37_1.fq.gz,GC72_P1_ILLSINHA37_1.fq.gz,pass,2082573,gc72_1_warm_high_1_6_V3,gc72_1_warm_high_1_6_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
3.06123176980457,5.7992673383348,GC72_P1_ILLSINHA39,gc72,1,B5,ILLSINHA39,86,86,0,V3_Leaf_tissue,gc72054,warm,high,3,9,F1,,V3,3/2/2017,3/6/2017,warm_3_9_V3,3/13/2017,F1,H,gc72054_0,GC72_P1_ILLSINHA39_1.fq.gz,GC72_P1_ILLSINHA39_1.fq.gz,pass,3147936,gc72_1_warm_high_3_9_V3,gc72_1_warm_high_3_9_V3_V3_Leaf_tissue,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
1.3655910234091,7.20796459379534,GC72_P1_ILLSINHA40,gc72,1,A5,ILLSINHA40,86.1,86,1,V3_Primary_root,gc72054,warm,high,3,9,F1,,V3,3/2/2017,3/6/2017,warm_3_9_V3,3/13/2017,F1,H,gc72054_1,GC72_P1_ILLSINHA40_1.fq.gz,GC72_P1_ILLSINHA40_1.fq.gz,pass,3580626,gc72_1_warm_high_3_9_V3,gc72_1_warm_high_3_9_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
3.40756638709912,5.58372306802123,GC72_P1_ILLSINHA43,gc72,1,F6,ILLSINHA43,140,140,0,V3_Leaf_tissue,gc72172,warm,low,10,5,PT,,V3,3/2/2017,3/6/2017,warm_10_5_V3,3/14/2017,PT,Inv4m,gc72172_0,GC72_P1_ILLSINHA43_1.fq.gz,GC72_P1_ILLSINHA43_1.fq.gz,pass,3471393,gc72_1_warm_low_10_5_V3,gc72_1_warm_low_10_5_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
0.850617365569514,6.20756276674424,GC72_P1_ILLSINHA46,gc72,1,C6,ILLSINHA46,116.1,116,1,V3_Primary_root,gc72154,warm,low,9,5,F1,,V3,3/2/2017,3/4/2017,warm_9_5_V3,3/14/2017,F1,H,gc72154_1,GC72_P1_ILLSINHA46_1.fq.gz,GC72_P1_ILLSINHA46_1.fq.gz,pass,2918849,gc72_1_warm_low_9_5_V3,gc72_1_warm_low_9_5_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,low_warm,low_warm_F1
-1.49241527104645,6.23657515788078,GC72_P1_ILLSINHA47,gc72,1,B6,ILLSINHA47,140.1,140,1,V3_Primary_root,gc72172,warm,low,10,5,PT,,V3,3/2/2017,3/6/2017,warm_10_5_V3,3/14/2017,PT,Inv4m,gc72172_1,GC72_P1_ILLSINHA47_1.fq.gz,GC72_P1_ILLSINHA47_1.fq.gz,pass,2643613,gc72_1_warm_low_10_5_V3,gc72_1_warm_low_10_5_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
-1.71795940300611,6.19799395771996,GC72_P1_ILLSINHA48,gc72,1,A6,ILLSINHA48,117.1,117,1,V3_Primary_root,gc72158,warm,low,9,7,B73,,V3,3/2/2017,3/6/2017,warm_9_7_V3,3/14/2017,B73,B73,gc72158_1,GC72_P1_ILLSINHA48_1.fq.gz,GC72_P1_ILLSINHA48_1.fq.gz,pass,2508747,gc72_1_warm_low_9_7_V3,gc72_1_warm_low_9_7_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
-1.64037445156821,6.17091067035692,GC72_P1_ILLSINHA49,gc72,1,H7,ILLSINHA49,226.1,226,1,V3_Primary_root,gc72356,cold,low,10,7,F1,,V3,3/2/2017,3/7/2017,cold_10_7_V3,3/23/2017,F1,H,gc72356_1,GC72_P1_ILLSINHA49_1.fq.gz,GC72_P1_ILLSINHA49_1.fq.gz,pass,7124882,gc72_1_cold_low_10_7_V3,gc72_1_cold_low_10_7_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
-2.72555810371879,6.57624635328239,GC72_P1_ILLSINHA50,gc72,1,G7,ILLSINHA50,227.1,227,1,V3_Primary_root,gc72358,cold,low,10,8,PT,,V3,3/2/2017,3/8/2017,cold_10_8_V3,3/23/2017,PT,Inv4m,gc72358_1,GC72_P1_ILLSINHA50_1.fq.gz,GC72_P1_ILLSINHA50_1.fq.gz,pass,5920870,gc72_1_cold_low_10_8_V3,gc72_1_cold_low_10_8_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
-3.1477913025581,6.25415588855557,GC72_P1_ILLSINHA51,gc72,1,F7,ILLSINHA51,274.1,274,1,V3_Primary_root,gc72346,cold,low,10,2,B73,,V3,3/2/2017,3/13/2017,cold_10_2_V3,3/28/2017,B73,B73,gc72346_1,GC72_P1_ILLSINHA51_1.fq.gz,GC72_P1_ILLSINHA51_1.fq.gz,pass,6945957,gc72_1_cold_low_10_2_V3,gc72_1_cold_low_10_2_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
3.75174403341526,6.05999551729746,GC72_P1_ILLSINHA89,gc72,1,H12,ILLSINHA89,218,218,0,V3_Leaf_tissue,gc72182,cold,high,1,1,PT,,V3,3/2/2017,3/9/2017,cold_1_1_V3,3/23/2017,PT,Inv4m,gc72182_0,GC72_P1_ILLSINHA89_1.fq.gz,GC72_P1_ILLSINHA89_1.fq.gz,pass,4566803,gc72_1_cold_high_1_1_V3,gc72_1_cold_high_1_1_V3_V3_Leaf_tissue,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,high_cold,high_cold_PT
5.89527305300874,5.84067520518813,GC72_P1_ILLSINHA90,gc72,1,G12,ILLSINHA90,234,234,0,V3_Leaf_tissue,gc72184,cold,high,1,2,F1,,V3,3/2/2017,3/8/2017,cold_1_2_V3,3/24/2017,F1,H,gc72184_0,GC72_P1_ILLSINHA90_1.fq.gz,GC72_P1_ILLSINHA90_1.fq.gz,pass,4651928,gc72_1_cold_high_1_2_V3,gc72_1_cold_high_1_2_V3_V3_Leaf_tissue,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
1.65660126178417,6.19956501497746,GC72_P1_ILLSINHA91,gc72,1,F12,ILLSINHA91,234.1,234,1,V3_Primary_root,gc72184,cold,high,1,2,F1,,V3,3/2/2017,3/8/2017,cold_1_2_V3,3/24/2017,F1,H,gc72184_1,GC72_P1_ILLSINHA91_1.fq.gz,GC72_P1_ILLSINHA91_1.fq.gz,pass,4097138,gc72_1_cold_high_1_2_V3,gc72_1_cold_high_1_2_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
-1.23003560261611,6.28410535806937,GC72_P1_ILLSINHA92,gc72,1,E12,ILLSINHA92,218.1,218,1,V3_Primary_root,gc72182,cold,high,1,1,PT,,V3,3/2/2017,3/9/2017,cold_1_1_V3,3/23/2017,PT,Inv4m,gc72182_1,GC72_P1_ILLSINHA92_1.fq.gz,GC72_P1_ILLSINHA92_1.fq.gz,pass,5016235,gc72_1_cold_high_1_1_V3,gc72_1_cold_high_1_1_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,high_cold,high_cold_PT
-0.512996549132078,6.22864420622479,GC72_P1_ILLSINHA93,gc72,1,D12,ILLSINHA93,250.1,250,1,V3_Primary_root,gc72190,cold,high,1,5,B73,,V3,3/2/2017,3/13/2017,cold_1_5_V3,3/28/2017,B73,B73,gc72190_1,GC72_P1_ILLSINHA93_1.fq.gz,GC72_P1_ILLSINHA93_1.fq.gz,pass,5051564,gc72_1_cold_high_1_5_V3,gc72_1_cold_high_1_5_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,high_cold,high_cold_B73
3.5958289561547,5.03840916577505,GC72_P1_ILLSINHA94,gc72,1,C12,ILLSINHA94,227,227,0,V3_Leaf_tissue,gc72358,cold,low,10,8,PT,,V3,3/2/2017,3/8/2017,cold_10_8_V3,3/23/2017,PT,Inv4m,gc72358_0,GC72_P1_ILLSINHA94_1.fq.gz,GC72_P1_ILLSINHA94_1.fq.gz,pass,2337521,gc72_1_cold_low_10_8_V3,gc72_1_cold_low_10_8_V3_V3_Leaf_tissue,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
2.36821864375204,6.15355992706063,GC72_P1_ILLSINHA95,gc72,1,B12,ILLSINHA95,226,226,0,V3_Leaf_tissue,gc72356,cold,low,10,7,F1,,V3,3/2/2017,3/7/2017,cold_10_7_V3,3/23/2017,F1,H,gc72356_0,GC72_P1_ILLSINHA95_1.fq.gz,GC72_P1_ILLSINHA95_1.fq.gz,pass,728663,gc72_1_cold_low_10_7_V3,gc72_1_cold_low_10_7_V3_V3_Leaf_tissue,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
4.8509403345896,6.06315849074499,GC72_P2_ILLSINHA43,gc72,2,F6,ILLSINHA43,171,171,0,V3_Leaf_tissue,gc72060,warm,high,4,3,PT,,V3,3/2/2017,3/6/2017,warm_4_3_V3,3/15/2017,PT,Inv4m,gc72060_0,GC72_P2_ILLSINHA43_1.fq.gz,GC72_P2_ILLSINHA43_1.fq.gz,pass,4234407,gc72_2_warm_high_4_3_V3,gc72_2_warm_high_4_3_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
2.7270418131738,4.84649280074548,GC72_P2_ILLSINHA45,gc72,2,D6,ILLSINHA45,103,103,0,V3_Leaf_tissue,gc72028,warm,high,2,5,B73,,V3,3/2/2017,3/6/2017,warm_2_5_V3,3/14/2017,B73,B73,gc72028_0,GC72_P2_ILLSINHA45_1.fq.gz,GC72_P2_ILLSINHA45_1.fq.gz,pass,734896,gc72_2_warm_high_2_5_V3,gc72_2_warm_high_2_5_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
-1.8383428383919,6.35980839057555,GC72_P2_ILLSINHA46,gc72,2,C6,ILLSINHA46,103.1,103,1,V3_Primary_root,gc72028,warm,high,2,5,B73,,V3,3/2/2017,3/6/2017,warm_2_5_V3,3/14/2017,B73,B73,gc72028_1,GC72_P2_ILLSINHA46_1.fq.gz,GC72_P2_ILLSINHA46_1.fq.gz,pass,3550756,gc72_2_warm_high_2_5_V3,gc72_2_warm_high_2_5_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
0.0997137129627359,6.7053490467774,GC72_P2_ILLSINHA47,gc72,2,B6,ILLSINHA47,171.1,171,1,V3_Primary_root,gc72060,warm,high,4,3,PT,,V3,3/2/2017,3/6/2017,warm_4_3_V3,3/15/2017,PT,Inv4m,gc72060_1,GC72_P2_ILLSINHA47_1.fq.gz,GC72_P2_ILLSINHA47_1.fq.gz,pass,4866077,gc72_2_warm_high_4_3_V3,gc72_2_warm_high_4_3_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
0.172275179503818,5.89775028332448,GC72_P2_ILLSINHA48,gc72,2,A6,ILLSINHA48,78.1,78,1,V3_Primary_root,gc72082,warm,high,5,5,F1,,V3,3/2/2017,3/6/2017,warm_5_5_V3,3/13/2017,F1,H,gc72082_1,GC72_P2_ILLSINHA48_1.fq.gz,GC72_P2_ILLSINHA48_1.fq.gz,pass,3854604,gc72_2_warm_high_5_5_V3,gc72_2_warm_high_5_5_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
-1.33675724131534,6.6682106910723,GC72_P2_ILLSINHA49,gc72,2,H7,ILLSINHA49,290.1,290,1,V3_Primary_root,gc72238,cold,high,4,2,B73,,V3,3/2/2017,3/13/2017,cold_4_2_V3,3/28/2017,B73,B73,gc72238_1,GC72_P2_ILLSINHA49_1.fq.gz,GC72_P2_ILLSINHA49_1.fq.gz,pass,3963884,gc72_2_cold_high_4_2_V3,gc72_2_cold_high_4_2_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,high_cold,high_cold_B73
0.714771524059218,6.60100472460069,GC72_P2_ILLSINHA50,gc72,2,G7,ILLSINHA50,232.1,232,1,V3_Primary_root,gc72220,cold,high,3,2,PT,,V3,3/2/2017,3/8/2017,cold_3_2_V3,3/23/2017,PT,Inv4m,gc72220_1,GC72_P2_ILLSINHA50_1.fq.gz,GC72_P2_ILLSINHA50_1.fq.gz,pass,10779697,gc72_2_cold_high_3_2_V3,gc72_2_cold_high_3_2_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,high_cold,high_cold_PT
-2.24621122860453,6.78225040645004,GC72_P2_ILLSINHA51,gc72,2,F7,ILLSINHA51,220.1,220,1,V3_Primary_root,gc72270,cold,high,5,9,F1,,V3,3/2/2017,3/13/2017,cold_5_9_V3,3/23/2017,F1,H,gc72270_1,GC72_P2_ILLSINHA51_1.fq.gz,GC72_P2_ILLSINHA51_1.fq.gz,pass,5152570,gc72_2_cold_high_5_9_V3,gc72_2_cold_high_5_9_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
5.06074398813256,6.33391581906604,GC72_P2_ILLSINHA52,gc72,2,E7,ILLSINHA52,228,228,0,V3_Leaf_tissue,gc72360,cold,low,10,9,B73,,V3,3/2/2017,3/9/2017,cold_10_9_V3,3/23/2017,B73,B73,gc72360_0,GC72_P2_ILLSINHA52_1.fq.gz,GC72_P2_ILLSINHA52_1.fq.gz,pass,2658763,gc72_2_cold_low_10_9_V3,gc72_2_cold_low_10_9_V3_V3_Leaf_tissue,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
4.98212298074149,6.31094824098737,GC72_P2_ILLSINHA53,gc72,2,D7,ILLSINHA53,230,230,0,V3_Leaf_tissue,gc72330,cold,low,9,3,F1,,V3,3/2/2017,3/8/2017,cold_9_3_V3,3/23/2017,F1,H,gc72330_0,GC72_P2_ILLSINHA53_1.fq.gz,GC72_P2_ILLSINHA53_1.fq.gz,pass,1247434,gc72_2_cold_low_9_3_V3,gc72_2_cold_low_9_3_V3_V3_Leaf_tissue,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
2.17105985023366,3.37297299799731,GC72_P2_ILLSINHA54,gc72,2,C7,ILLSINHA54,229,229,0,V3_Leaf_tissue,gc72326,cold,low,9,1,PT,,V3,3/2/2017,3/7/2017,cold_9_1_V3,3/23/2017,PT,Inv4m,gc72326_0,GC72_P2_ILLSINHA54_1.fq.gz,GC72_P2_ILLSINHA54_1.fq.gz,pass,234110,gc72_2_cold_low_9_1_V3,gc72_2_cold_low_9_1_V3_V3_Leaf_tissue,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
1.18328172018001,6.36162639680526,GC72_P2_ILLSINHA55,gc72,2,B7,ILLSINHA55,230.1,230,1,V3_Primary_root,gc72330,cold,low,9,3,F1,,V3,3/2/2017,3/8/2017,cold_9_3_V3,3/23/2017,F1,H,gc72330_1,GC72_P2_ILLSINHA55_1.fq.gz,GC72_P2_ILLSINHA55_1.fq.gz,pass,4492948,gc72_2_cold_low_9_3_V3,gc72_2_cold_low_9_3_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
-2.24678118162855,6.30974591774363,GC72_P2_ILLSINHA56,gc72,2,A7,ILLSINHA56,229.1,229,1,V3_Primary_root,gc72326,cold,low,9,1,PT,,V3,3/2/2017,3/7/2017,cold_9_1_V3,3/23/2017,PT,Inv4m,gc72326_1,GC72_P2_ILLSINHA56_1.fq.gz,GC72_P2_ILLSINHA56_1.fq.gz,pass,4690680,gc72_2_cold_low_9_1_V3,gc72_2_cold_low_9_1_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
-0.700613655755979,7.01612149825287,GC72_P2_ILLSINHA57,gc72,2,H8,ILLSINHA57,228.1,228,1,V3_Primary_root,gc72360,cold,low,10,9,B73,,V3,3/2/2017,3/9/2017,cold_10_9_V3,3/23/2017,B73,B73,gc72360_1,GC72_P2_ILLSINHA57_1.fq.gz,GC72_P2_ILLSINHA57_1.fq.gz,pass,5402010,gc72_2_cold_low_10_9_V3,gc72_2_cold_low_10_9_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
3.56294391438229,7.06169118532574,GC72_P3_ILLSINHA1,gc72,3,H1,ILLSINHA1,93,93,0,V3_Leaf_tissue,gc72016,warm,high,1,8,B73,,V3,3/2/2017,3/6/2017,warm_1_8_V3,3/13/2017,B73,B73,gc72016_0,GC72_P3_ILLSINHA1_1.fq.gz,GC72_P3_ILLSINHA1_1.fq.gz,pass,2680030,gc72_3_warm_high_1_8_V3,gc72_3_warm_high_1_8_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
0.210385364779782,5.71980613723768,GC72_P3_ILLSINHA3,gc72,3,F1,ILLSINHA3,76,76,0,V3_Leaf_tissue,gc72078,warm,high,5,3,PT,,V3,3/2/2017,3/6/2017,warm_5_3_V3,3/13/2017,PT,Inv4m,gc72078_0,GC72_P3_ILLSINHA3_1.fq.gz,GC72_P3_ILLSINHA3_1.fq.gz,pass,2138756,gc72_3_warm_high_5_3_V3,gc72_3_warm_high_5_3_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
-0.118953802710314,6.68880824431734,GC72_P3_ILLSINHA4,gc72,3,E1,ILLSINHA4,76.1,76,1,V3_Primary_root,gc72078,warm,high,5,3,PT,,V3,3/2/2017,3/6/2017,warm_5_3_V3,3/13/2017,PT,Inv4m,gc72078_1,GC72_P3_ILLSINHA4_1.fq.gz,GC72_P3_ILLSINHA4_1.fq.gz,pass,4149915,gc72_3_warm_high_5_3_V3,gc72_3_warm_high_5_3_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
0.224373865015629,6.63286572862275,GC72_P3_ILLSINHA5,gc72,3,D1,ILLSINHA5,93.1,93,1,V3_Primary_root,gc72016,warm,high,1,8,B73,,V3,3/2/2017,3/6/2017,warm_1_8_V3,3/13/2017,B73,B73,gc72016_1,GC72_P3_ILLSINHA5_1.fq.gz,GC72_P3_ILLSINHA5_1.fq.gz,pass,4074304,gc72_3_warm_high_1_8_V3,gc72_3_warm_high_1_8_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
0.219731282167631,6.07428876849926,GC72_P3_ILLSINHA6,gc72,3,C1,ILLSINHA6,105.1,105,1,V3_Primary_root,gc72036,warm,high,2,9,F1,,V3,3/2/2017,3/6/2017,warm_2_9_V3,3/14/2017,F1,H,gc72036_1,GC72_P3_ILLSINHA6_1.fq.gz,GC72_P3_ILLSINHA6_1.fq.gz,pass,1908088,gc72_3_warm_high_2_9_V3,gc72_3_warm_high_2_9_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
